Algorithm,Scenario,Input Size,Steps,Execution Time (ms),Asymptotic Notation
Bubble Sort,sorted,50,50,0.0026226043701171875,O(n^2)
Insertion Sort,sorted,50,147,0.0045299530029296875,O(n^2)
Merge Sort,sorted,50,1011,0.042438507080078125,O(n log n)
Quick Sort,sorted,50,765,0.02384185791015625,"O(n log n) (avg), O(n^2) (worst)"
Heap Sort,sorted,50,2069,0.06031990051269531,O(n log n)
Selection Sort,sorted,50,1375,0.055789947509765625,O(n^2)
Radix Sort,sorted,50,910,0.034332275390625,O(n * d)
Counting Sort,sorted,50,654,0.015974044799804688,O(n + k)

Bubble Sort,random,50,2984,0.1766681671142578,O(n^2)
Insertion Sort,random,50,1287,0.0514984130859375,O(n^2)
Merge Sort,random,50,1086,0.05745887756347656,O(n log n)
Quick Sort,random,50,649,0.024080276489257812,"O(n log n) (avg), O(n^2) (worst)"
Heap Sort,random,50,1787,0.05626678466796875,O(n log n)
Selection Sort,random,50,1506,0.06365776062011719,O(n^2)
Radix Sort,random,50,910,0.03719329833984375,O(n * d)
Counting Sort,random,50,654,0.01621246337890625,O(n + k)

Bubble Sort,reversed,50,4949,0.18978118896484375,O(n^2)
Insertion Sort,reversed,50,2597,0.09083747863769531,O(n^2)
Merge Sort,reversed,50,991,0.04124641418457031,O(n log n)
Quick Sort,reversed,50,553,0.021457672119140625,"O(n log n) (avg), O(n^2) (worst)"
Heap Sort,reversed,50,1540,0.04887580871582031,O(n log n)
Selection Sort,reversed,50,2000,0.07009506225585938,O(n^2)
Radix Sort,reversed,50,910,0.032901763916015625,O(n * d)
Counting Sort,reversed,50,654,0.015497207641601562,O(n + k)

Bubble Sort,sorted,100,100,0.00476837158203125,O(n^2)
Insertion Sort,sorted,100,297,0.009059906005859375,O(n^2)
Merge Sort,sorted,100,2372,0.08869171142578125,O(n log n)
Quick Sort,sorted,100,1818,0.051975250244140625,"O(n log n) (avg), O(n^2) (worst)"
Heap Sort,sorted,100,4940,0.15091896057128906,O(n log n)
Selection Sort,sorted,100,5250,0.2524852752685547,O(n^2)
Radix Sort,sorted,100,2590,0.12040138244628906,O(n * d)
Counting Sort,sorted,100,1304,0.04673004150390625,O(n + k)

Bubble Sort,random,100,11760,0.6492137908935547,O(n^2)
Insertion Sort,random,100,4771,0.19288063049316406,O(n^2)
Merge Sort,random,100,2565,0.1125335693359375,O(n log n)
Quick Sort,random,100,1654,0.05507469177246094,"O(n log n) (avg), O(n^2) (worst)"
Heap Sort,random,100,4393,0.19121170043945312,O(n log n)
Selection Sort,random,100,5555,0.3800392150878906,O(n^2)
Radix Sort,random,100,2590,0.2086162567138672,O(n * d)
Counting Sort,random,100,1304,0.046253204345703125,O(n + k)

Bubble Sort,reversed,100,19899,0.6945133209228516,O(n^2)
